지역구,읍면동,등록인구,65세이상 고령자,수급권자수,미성년수,직장인수,5분이내도보접근의료시설수평균,등록인구비율,병원 및 요양병원수,병원 및 요양병원 의사수,의원수,의원 의사수,치과수,치과 의사수,약국수,약사 수,일일환자수,월 요양급여비용,환자건수,총진료비,건강보험료 건수 합계,건강보험료 금액 합계
기흥구,신갈동,0.031826900758150395,0.031424524613698566,0.0696751582209735,0.03388662885648959,0.031826900758150395,0.03698613778630916,0.021461606909877817,0.02930087649971342,0.037811601266929964,0.023780087072404758,0.028347068851102004,0.02662764799157699,0.025051548429348282,0.02662764799157699,0.02662764799157699,0.02844804490394442,0.05103688055811187,0.025639345562412284,0.025777978847697173,0.025639345562412284,0.025790153658930108
기흥구,영덕1동,0.02636662445876811,0.02082663060545661,0.05003693029587683,0.03407073076580455,0.026366624458768112,0.042191986172596174,0.01777961775085938,0.024273969144885874,0.03132457974358421,0.019700335580879236,0.023483798330958996,0.022059364188465286,0.020753662901912235,0.022059364188465286,0.022059364188465286,0.023567450763373195,0.042280908010753536,0.021240616576202062,0.021355465703308978,0.021240616576202062,0.02136555178357405
기흥구,영덕2동,0.015095005406297936,0.016381360114336257,0.005850917464409333,0.019229741366511267,0.015095005406297938,0.03404673367428103,0.010178907295881907,0.013896951278210043,0.017933456037152,0.011278526478210767,0.013444575103672515,0.012629080457572392,0.011881560879920346,0.012629080457572392,0.012629080457572392,0.013492466479434967,0.02420600088583844,0.012160343943619544,0.012226095560679913,0.012160343943619544,0.01223186988482094
기흥구,영덕동,0.037767763173770445,0.026291890714024782,0.0,0.0,0.03776776317377045,0.0,0.02546766627577612,0.03477022701123927,0.044869577868173194,0.028218917815057053,0.03363838003500293,0.03159800920807119,0.029727712270996864,0.03159800920807119,0.03159800920807119,0.033758204446401124,0.060563509865256396,0.03042522859797059,0.03058973940367009,0.03042522859797059,0.030604186785487916
수지구,동천동,0.033106286138119057,0.029717171587697322,0.011841832128874661,0.061412833684710635,0.03310628613811906,0.011612633444015245,0.036677181913774996,0.04137713217098926,0.019124384781973928,0.04931340809136752,0.04448442278056628,0.04159512391513738,0.044279361437721064,0.04159512391513738,0.04159512391513738,0.0302781842181802,0.007721358414648604,0.03912303609320115,0.03701875344659207,0.03912303609320115,0.03692908433737724
수지구,상현1동,0.04032804878356194,0.03865471177736049,0.005648162898810988,0.025055675980639607,0.04032804878356196,0.04862716530000973,0.04467789516744417,0.050403086524230416,0.023296153462379062,0.06007057145870959,0.05418819750783426,0.050668630706859126,0.05393840434760531,0.050668630706859126,0.050668630706859126,0.03688302835099645,0.009405685600680514,0.04765728482939135,0.04509397667477648,0.04765728482939135,0.044984747261495046
수지구,상현2동,0.028255074158231953,0.03253114231573641,0.008993613231183651,0.03929091071057398,0.028255074158231957,0.04870151446480633,0.03130271062616855,0.035313956179462,0.016322003259165233,0.04208729414116968,0.0379659216170375,0.035500004619661255,0.037790908828683474,0.035500004619661255,0.035500004619661255,0.02584138664458169,0.006589913278040067,0.03339016286806578,0.03159423015662338,0.03339016286806578,0.03151770066249657
수지구,성복동,0.034107412535498524,0.04918253423999078,0.010398412721400742,0.06698933990557354,0.034107412535498524,0.037043776833084435,0.0377862913693684,0.04262836702987428,0.019702701732386294,0.05080463408932596,0.04582962138520637,0.04285295079369403,0.04561835903501929,0.04285295079369403,0.04285295079369403,0.031193789470882836,0.007954850498305558,0.040306107610650385,0.038138191945940786,0.040306107610650385,0.03804581126370657
수지구,신봉동,0.030915623892746835,0.03509131732369423,0.012314926115270797,0.05009947441874276,0.03091562389274683,0.022692482928997268,0.03425023141410409,0.03863918322405515,0.01785891309683668,0.04605031114217496,0.041540862603323785,0.03884275032746536,0.04134937028902747,0.03884275032746536,0.03884275032746536,0.028274659124834855,0.007210431628980495,0.036534241997235546,0.03456920095955495,0.036534241997235546,0.03448546530754863
수지구,죽전1동,0.050843189690102306,0.04640359928475753,0.0150086653439345,0.030109570329898742,0.05084318969010232,0.047811834096562644,0.056327215609766376,0.06354519413700586,0.029370395674096304,0.07573338040378802,0.06831723547156958,0.06387997634580932,0.06800231120888153,0.06387997634580932,0.06387997634580932,0.04649991416295605,0.01185812533920034,0.06008345173604419,0.056851786265722896,0.06008345173604419,0.056714076360415734
수지구,죽전2동,0.016629169596116055,0.015095290893049031,0.006632970788860084,0.015179499361582088,0.01662916959611606,0.06785572120555747,0.018422817823999415,0.020783586096056825,0.009606110351189455,0.024769949220297023,0.02234436710047096,0.020893082572613228,0.022241365518428386,0.020893082572613228,0.020893082572613228,0.015208624075982497,0.0038784108266903443,0.0196513616657146,0.018594387988188885,0.0196513616657146,0.018549347514049172
수지구,풍덕천1동,0.03137717970769149,0.029251452168692973,0.02963113151530072,0.03170116102978294,0.031377179707691494,0.07009638498205786,0.03476157136076739,0.039216048169871696,0.018125538322225392,0.046737820763893066,0.042161048266045574,0.039422654434989816,0.041966697060999154,0.039422654434989816,0.039422654434989816,0.02869678657016541,0.007318080003089406,0.03707968115437238,0.035085302972447406,0.03707968115437238,0.035000317186294164
수지구,풍덕천2동,0.035317966925218,0.026427227068125354,0.01400454749525699,0.05525432787956172,0.03531796692521801,0.07222514706573072,0.039127418047940093,0.04414135066007134,0.02040199816968273,0.052607813171026016,0.047456225258757354,0.04437390544370589,0.04723746469787676,0.04437390544370589,0.04437390544370589,0.03230093234595905,0.00823718734166075,0.04173666864924561,0.03949180842529322,0.04173666864924561,0.03939614892968413
처인구,남사면,0.01105016693941262,0.016791535015477695,0.0,0.0,0.01105016693941262,0.0,0.017985561067739447,0.009111248301381785,0.012891153397467122,0.009846110073579993,0.008386835138019393,0.011244607646551162,0.01124915092236795,0.011244607646551162,0.011244607646551162,0.015268593331974563,0.007399672064699052,0.013285088160688165,0.01420079563678901,0.013285088160688165,0.014234564188380167
