지역,사업장명,의사수,위도,경도
처인구,수플러스의원,1,37.2347183409,127.2039185383
기흥구,제니스피부과의원,1,37.2765156269,127.0737090085
기흥구,올리브소아청소년과의원,1,37.3207560951,127.1131199759
수지구,리&홍위즈의원,1,37.3157925018,127.0746158796
처인구,최소아청소년과의원,2,37.2343455592,127.1955436906
기흥구,마트소아청소년과의원,1,37.2757570895,127.0733297742
수지구,동천이안소아청소년과의원,3,37.3363861384,127.091658782
기흥구,미가피부과의원,3,37.3200530391,127.110380987
처인구,서울내과의원,3,37.2692447535,127.2160773277
기흥구,서울성모내과의원,1,37.2722342497,127.1076723801
기흥구,장혜원가정의학과의원,1,37.2552774837,127.1182476807
기흥구,이진희정형외과의원,2,37.2748302163,127.0737636309
수지구,메디서울이비인후과의원,1,37.3231017192,127.0948684138
처인구,바른정형외과의원,1,37.2354412151,127.2082561216
수지구,광교인내과의원,1,37.2960777478,127.0692547673
기흥구,수의원,1,37.2540476668,127.1198326015
기흥구,우리이비인후과의원,1,37.3003023414,127.1072783973
기흥구,오정형외과의원,1,37.2995671756,127.1084782523
기흥구,우리들소아청소년과의원,1,37.2937905111,127.1199260466
기흥구,유리아의원,1,37.2811266369,127.1118113199
수지구,우리아이소아청소년과의원,1,37.3222451847,127.0948052915
수지구,더조은내과의원,7,37.3107161657,127.08177659
처인구,용인제일산부인과의원,20,37.2352714408,127.194547876
수지구,연세두루이비인후과의원,1,37.3157925018,127.0746158796
기흥구,아이언소아청소년과의원,2,37.2664848226,127.1081195101
처인구,용인삼성내과의원,7,37.2346356071,127.2032762626
기흥구,재단법인서울의과학연구소 에스씨엘(SCL)의원,20,37.2707064991,127.0675947052
처인구,(홍인의료소비자생활협동조합)우리현대의원,1,37.2347106125,127.2836799497
수지구,상현연세내과의원,2,37.3078599768,127.0846812565
기흥구,홍이비인후과의원,1,37.2934946493,127.1204239617
기흥구,김람훈내과의원,2,37.2945301484,127.1200802816
기흥구,예일내과의원,6,37.2712510721,127.1074744579
기흥구,양가정의학과의원,1,37.3034376719,127.1234545005
기흥구,이상석내과의원,1,37.2805880268,127.1124909157
기흥구,새봄산부인과의원,1,37.2941787558,127.1201271788
기흥구,문내과의원,2,37.2767155941,127.1108300597
기흥구,송채경소아청소년과의원,1,37.2798637806,127.111535796
기흥구,오래정형외과의원,1,37.2798637806,127.111535796
수지구,소망정형외과의원,2,37.3199386704,127.0622000939
수지구,광교그린산부인과의원,2,37.2973592969,127.0696874958
수지구,성모마취통증의학과의원,1,37.322536172,127.095548655
수지구,한마음안과의원,1,37.3231017192,127.0948684138
기흥구,김재한내과의원,1,37.3207314502,127.1138537241
기흥구,고려외과의원,5,37.2776789103,127.1539939153
기흥구,서울손내과의원,1,37.2697733373,127.1538834683
기흥구,연세 민의원,1,37.2543217861,127.1098852831
기흥구,서울새로운내과의원,3,37.2998077073,127.10761947
수지구,하늘가정의학과의원,2,37.3329500465,127.0963846077
수지구,한지윤피부과의원,1,37.3107414111,127.0812686258
기흥구,준정형외과의원,1,37.2506102836,127.1078409073
기흥구,보라성심안과의원,2,37.2543217861,127.1098852831
기흥구,베스톤비뇨기과의원,3,37.2780109377,127.1534847899
기흥구,엔젤소아청소년과의원,1,37.2441046789,127.1058789345
기흥구,연세문소아청소년과의원,1,37.2776789103,127.1539939153
수지구,광교으뜸정형외과의원,1,37.2973592969,127.0696874958
처인구,남사연합의원,1,37.11400687,127.1498100359
기흥구,강북삼성수원의원,93,37.2707064991,127.0675947052
수지구,김유진정신건강의학과의원,1,37.2983878864,127.0699637146
기흥구,홍성호성형외과의원,1,37.2293548576,127.1050087951
기흥구,한결내과의원,3,37.2725765125,127.107591649
기흥구,이건내과의원,3,37.2805493101,127.1116789191
기흥구,서울의원,1,37.2579764086,127.1425475472
기흥구,수이비인후과의원,1,37.2805493101,127.1116789191
수지구,더아이비의원,2,37.2979005714,127.069808526
기흥구,정내과의원,2,37.2712730176,127.1059403862
기흥구,최소아청소년과의원,1,37.2727700344,127.1371763291
기흥구,용인탑내과의원,2,37.2719849202,127.1058802798
기흥구,닥터권이비인후과의원,1,37.3202911023,127.1142622884
처인구,한양의원,1,37.2803521078,127.2324712885
수지구,피터소아청소년과의원,2,37.3359720542,127.0918190663
수지구,아르뜨의원,1,37.3073759262,127.0854512638
수지구,SOK수지속편한내과의원,2,37.3359720542,127.0918190663
기흥구,동안미인의원,1,37.3207560951,127.1131199759
기흥구,연세뉴키즈소아청소년과의원,1,37.2368317294,127.0724895047
기흥구,상쾌한이비인후과의원,1,37.2368317294,127.0724895047
기흥구,홍종욱내과의원,1,37.2540047777,127.1094245801
수지구,힐링의원,2,37.3134187664,127.0787935621
기흥구,본정형외과의원,1,37.2805493101,127.1116789191
수지구,SJ美의원,1,37.3235366555,127.0955320062
기흥구,아이웰봄 소아청소년과의원,4,37.2371570406,127.0727131477
수지구,연세가정의학과의원,1,37.3283233294,127.1145259953
수지구,수지김안과의원,1,37.3246253049,127.0975804177
수지구,우리들의원,1,37.3127720588,127.0923169491
수지구,우리들이비인후과의원,1,37.3286110329,127.1142987721
처인구,용인밝은안과의원,1,37.2692447535,127.2160773277
기흥구,조이피부과의원,10,37.2712730176,127.1059403862
기흥구,주신환안과의원,1,37.3003023414,127.1072783973
기흥구,구갈서울안과의원,2,37.2805493101,127.1116789191
수지구,늘푸른외과의원,6,37.3235366555,127.0955320062
수지구,고려가정의원,1,37.3141648005,127.088438501
수지구,수지드림안과의원,1,37.3231779493,127.0779941675
수지구,한양마디의원,1,37.3286110329,127.1142987721
수지구,단아한미인의원,1,37.3131101297,127.0781858757
수지구,이연의원,1,37.3242575781,127.0774237798
수지구,연세바른신경외과의원,1,37.3139277057,127.0799644105
수지구,의료법인마리아의료재단수지마리아의원,4,37.3382501682,127.1016959956
기흥구,용인중앙의원,1,37.2798415424,127.11300236
기흥구,김앤서내과의원,2,37.2696282579,127.1535908817
수지구,죽전정형외과의원,1,37.3316684431,127.1176018517
수지구,김용한내과의원,1,37.3168060655,127.0682562124
수지구,명가정의학과의원,2,37.3354159933,127.1086535026
수지구,수지아산내과의원,3,37.3231779493,127.0779941675
처인구,서울박내과의원,1,37.2327126723,127.1880985507
기흥구,웰봄소아청소년과의원,4,37.2776789103,127.1539939153
기흥구,배소아청소년과의원,2,37.2805493101,127.1116789191
기흥구,용인적성의원,1,37.2888297589,127.1079246819
기흥구,삼성드림내과의원,1,37.2389433876,127.10972779
기흥구,김앤박정형외과마취통증의학과의원,2,37.2776789103,127.1539939153
수지구,선이고운여성의원,2,37.3067600253,127.0846083156
기흥구,누가이비인후과의원,1,37.2820308224,127.1595805132
기흥구,조은이비인후과의원,2,37.282147613,127.1594446183
기흥구,동백수이비인후과의원,2,37.2767082784,127.1519002913
기흥구,미앤지의원,2,37.2998077073,127.10761947
기흥구,성모프라임내과의원,2,37.2773985906,127.1536906375
기흥구,해피아이안과의원,5,37.2712730176,127.1059403862
수지구,조이소아청소년과의원,1,37.3314804204,127.1264639652
수지구,늘푸른가정의학과의원,1,37.3280281329,127.0731698257
수지구,우리맘정신건강의학과의원,1,37.2971065845,127.0695986719
수지구,수지한빛정형외과의원,1,37.327377151,127.095703308
기흥구,성모다솜의원,1,37.2438954782,127.0666429798
수지구,제이앤지(J&G)피부과의원,1,37.327377151,127.095703308
기흥구,연세웰정형외과의원,1,37.3198495396,127.1142984042
처인구,도담소아청소년과의원,1,37.2323309634,127.186916424
기흥구,미앤유의원,2,37.3207327754,127.1142600311
기흥구,우리들가정의학과의원,1,37.2890839599,127.1112063554
기흥구,연세미래이비인후과의원,1,37.2890412604,127.1119286075
기흥구,연세해맑은피부과의원,1,37.2815748401,127.1608798426
기흥구,연세웰비뇨기과의원,1,37.3202717865,127.1138673623
기흥구,미래아이소아과의원,2,37.282147613,127.1594446183
기흥구,연세프라임안과의원,2,37.3207707232,127.1120815431
기흥구,동백삼성내과의원,8,37.2824185473,127.15962389
수지구,샤인필의원,1,37.3319939507,127.1235377839
수지구,더공감정신건강의학과의원,1,37.3125953981,127.0804570894
처인구,아름다움의원,1,37.2354703783,127.2054713813
수지구,으뜸가정의학과의원,2,37.3408922649,127.0993338258
수지구,서울꾸러기의원,1,37.327054069,127.1122862794
처인구,서울피부과의원,1,37.2352272924,127.2092377632
기흥구,삼성키즈소아청소년과의원,1,37.2810753122,127.144243228
기흥구,조정형외과의원,2,37.2717653181,127.1049001363
기흥구,현이비인후과의원,4,37.2717390293,127.1051258571
수지구,봄소아청소년과의원,2,37.3231779493,127.0779941675
수지구,눈사랑안과의원,2,37.3134187664,127.0787935621
기흥구,연세준마취통증의학과의원,1,37.2941787558,127.1201271788
수지구,한국CFC병리과의원,4,37.301308208,127.0699132367
수지구,연세항통의원,3,37.2985199322,127.0690941599
기흥구,서울햇님소아청소년과의원,2,37.2963547616,127.1505686647
수지구,메디코아내과의원,4,37.323905523,127.095326864
처인구,배명철신경과의원,1,37.2346356071,127.2032762626
처인구,남사의원,1,37.1141159695,127.1501246949
처인구,연세의원,1,37.1652409664,127.3112706316
처인구,한빛가정의원,1,37.2349098116,127.2158453797
처인구,기독의원,1,37.165522224,127.3736693214
처인구,연세솔재활의학과의원,1,37.2356160021,127.2060345057
수지구,수지본내과의원,2,37.3283695059,127.0678852893
수지구,차호인정형외과의원,1,37.3235366555,127.0955320062
수지구,박지영산부인과의원,3,37.322536172,127.095548655
수지구,수지중앙내과의원,1,37.3231017192,127.0948684138
기흥구,굿닥터의원,1,37.2793299291,127.1109181228
기흥구,강남임내과의원,1,37.2712366915,127.1281491236
기흥구,크리스마스의원,6,37.2712730176,127.1059403862
수지구,하버드신경과의원,2,37.2960777478,127.0692547673
수지구,척척정형외과의원,2,37.3084918084,127.0849260435
처인구,연세바로비뇨기과의원,2,37.2364221748,127.2039907925
수지구,헬로닥터원의원,1,37.2973592969,127.0696874958
처인구,열린연합의원,1,37.2393342092,127.1733243999
수지구,클럽제이의원,1,37.3377850119,127.0767609756
수지구,서울건강내과의원,1,37.327377151,127.095703308
기흥구,미즈마리산부인과의원,1,37.2811266369,127.1118113199
수지구,제일가정의원,2,37.3353885598,127.1058201857
처인구,역북참내과의원,1,37.2312757659,127.1867065968
수지구,지음마취통증의학과의원,1,37.3094689666,127.085970158
처인구,김희준가정의학과의원,1,37.1925857779,127.2072267431
기흥구,센텀내과의원,1,37.2793299291,127.1109181228
수지구,미즈유영상의학과의원,1,37.3126742793,127.0798246757
수지구,김수연정신건강의학과의원,1,37.3126742793,127.0798246757
기흥구,오라클피부과의원,1,37.3200530391,127.110380987
처인구,더고운하나의원,1,37.2309539732,127.1877337821
수지구,메이퓨어의원,1,37.3220276183,127.0944452859
