지역,사업장명,의사수,위도,경도
기흥구,보스톤아름다운치과의원,1.0,37.29478147,127.151975
기흥구,상갈열린치과의원,1.0,37.26618344,127.1069368
처인구,용인보스톤치과의원,2.0,37.23521803,127.1948074
처인구,모마치과의원,1.0,37.26155229,127.2108959
기흥구,청치과의원,1.0,37.29509445,127.1134094
수지구,서울새이치과의원,1.0,37.33825017,127.101696
수지구,굿닥터치과의원,1.0,37.32866,127.068448
처인구,THE웃는치과의원,1.0,37.23271267,127.1880986
수지구,선데이치과의원,1.0,37.33825017,127.101696
기흥구,압구정부부치과의원,1.0,37.30811844,127.1103184
기흥구,연세예다운치과의원,1.0,37.27932993,127.1109181
처인구,연세플란트치과의원,1.0,37.26826748,127.2145133
처인구,중앙치과의원,1.0,37.19107832,127.2063763
기흥구,서울함께웃는치과의원,1.0,37.25400478,127.1094246
수지구,광교고은e치과의원,1.0,37.29828541,127.0690504
수지구,도담주니어치과의원,1.0,37.32797967,127.1141778
처인구,연세올바른치과의원,1.0,37.23579234,127.2080857
수지구,웃음꽃피는치과의원,1.0,37.296959,127.0686743
수지구,상아치과의원,1.0,37.32431807,127.0973563
수지구,보스톤수지치과의원,4.0,37.32246263,127.0951314
수지구,서울이치과의원,1.0,37.32213632,127.0946027
기흥구,나이스치과의원,1.0,37.25551239,127.1184156
수지구,U-그린치과의원,1.0,37.29656527,127.0694664
기흥구,보라하나치과의원,1.0,37.25527748,127.1182477
기흥구,구성치과의원,1.0,37.29417876,127.1201272
기흥구,뉴욕치과의원,2.0,37.26977334,127.1538835
수지구,하얀미소치과의원,1.0,37.33188953,127.1275682
수지구,보스턴미치과의원,1.0,37.30887165,127.0852851
기흥구,미소가있는치과의원,2.0,37.29992664,127.1081492
수지구,노용환치과의원,1.0,37.31994,127.0876621
수지구,아오스치과의원,1.0,37.32705407,127.1122863
수지구,연세치과의원,1.0,37.33199395,127.1235378
수지구,삼성하이덴치과의원,1.0,37.31680607,127.0682562
처인구,모던치과의원,1.0,37.23508365,127.2058224
처인구,서원치과의원,1.0,37.23482899,127.2122381
처인구,포곡치과의원,1.0,37.26760838,127.2140646
처인구,백암연세치과의원,1.0,37.16543292,127.3744579
기흥구,본치과의원,2.0,37.26935695,127.1532876
기흥구,리빙치과의원,1.0,37.28904126,127.1119286
수지구,동천뉴욕치과의원,1.0,37.34050357,127.0990085
수지구,정현석치과의원,1.0,37.31940047,127.0880375
수지구,뉴욕미치과의원,1.0,37.33196464,127.1228268
기흥구,연세림치과의원,1.0,37.29453015,127.1200803
수지구,미가온치과의원,1.0,37.32317795,127.0779942
기흥구,서울미소디자인치과의원,1.0,37.27799636,127.1515898
수지구,이플러스치과의원,3.0,37.32253617,127.0955487
수지구,서울미치과의원,1.0,37.33166357,127.1105807
수지구,바른서울치과교정과치과의원,1.0,37.32194588,127.0942651
기흥구,해바라기치과의원,1.0,37.2939104,127.1207716
기흥구,아이가행복한치과의원,1.0,37.28112664,127.1118113
기흥구,서울위캔치과의원,1.0,37.27986467,127.1118065
기흥구,해바라기의료복지사회적협동조합  COOP해바라기치과의원,1.0,37.28188715,127.1597729
수지구,연합치과의원,1.0,37.32310172,127.0948684
수지구,서울본치과의원,1.0,37.3270361,127.0961341
수지구,하나치과의원,1.0,37.33252088,127.1276892
수지구,다비드치과의원,2.0,37.31976257,127.0833291
처인구,미담치과의원,1.0,37.26924475,127.2160773
처인구,참미소치과의원,1.0,37.26943876,127.2180504
기흥구,연세지세븐치과의원,1.0,37.26995447,127.1541759
기흥구,연세이튼치과의원,1.0,37.27640399,127.1526462
수지구,미소치과의원,2.0,37.3125954,127.0804571
수지구,NYU아름다운치과교정과치과의원,1.0,37.32101015,127.0947668
처인구,연세캘리포니아치과의원,1.0,37.28603173,127.2173116
수지구,이센치과의원,1.0,37.31471462,127.0807275
기흥구,스마일치과의원,1.0,37.23226081,127.1087589
기흥구,한일치과의원,1.0,37.24314976,127.1033471
기흥구,연세스마일치과의원,1.0,37.23076559,127.0700775
수지구,일등플란트치과의원,1.0,37.31282887,127.0802075
