지역,사업장명,경도,위도,의사수
기흥구,한솔약국,127.1074912,37.2712773,1
수지구,보은약국,127.0876577,37.3199328,1
처인구,스마트셀약국,127.2129005,37.257699,1
처인구,좌전약국,127.321438,37.2032029,1
수지구,맑은샘약국,127.0773717,37.3233263,1
처인구,더편한약국,127.2036379,37.2346185,1
기흥구,강남플러스약국,127.1109574,37.2735157,1
기흥구,팜코리아약국,127.1115354,37.2798505,1
처인구,양림약국,127.1985049,37.1389652,1
처인구,명지약국,127.1899798,37.2362529,1
처인구,현대약국,127.2129666,37.2593113,1
기흥구,스포츠센타약국,127.1117759,37.2811344,1
수지구,다사랑약국,127.0854544,37.3073613,1
기흥구,큰사랑약국,127.1526482,37.2763622,1
수지구,서원약국,127.0778897,37.3021903,1
기흥구,건강을주는약국,127.1059365,37.271284,1
기흥구,서울샤약국,127.1076221,37.2998163,1
수지구,그린약국,127.0807117,37.3147286,1
수지구,성복약국,127.08175,37.3108583,1
수지구,우리들약국,127.1228448,37.331968,1
처인구,용인센타약국,127.208931,37.2370347,1
기흥구,그린빌약국,127.1069534,37.2661956,1
처인구,양지중앙약국,127.2837996,37.2343437,1
수지구,365 열린큰약국,127.081613,37.3128099,1
기흥구,연세1번약국,127.1512994,37.2696501,1
수지구,웰약국,127.1220993,37.3319471,1
기흥구,해오름약국,127.1512994,37.2696501,1
기흥구,서림한약국,127.1153728,37.2946523,1
수지구,도담약국,127.0681154,37.2968955,1
처인구,새싹약국,127.2085246,37.2353642,1
처인구,메디팜용인약국,127.217548,37.2695539,1
처인구,양지조은약국,127.2826921,37.2346702,1
기흥구,허브태평양약국,127.0932439,37.2694688,1
수지구,포레나약국,127.0928766,37.3401906,1
처인구,문 온누리약국,127.2009709,37.2356952,1
처인구,초록나무약국,127.1723476,37.1524416,1
처인구,용천온누리약국,127.2072559,37.1919782,1
수지구,염광플러스약국,127.0888068,37.3373067,1
수지구,다온약국,127.069301,37.2960904,1
처인구,큰길약국,127.173327,37.2393223,1
기흥구,타워온누리약국,127.1138541,37.320292,1
처인구,한빛약국,127.2092109,37.2347267,1
